samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.86807073106959,2.16100626473532,0,0.401501862824053,0,0.430509041423416,0,0.154034627098404,0.0634174017563508,0,12,0.973454402405423,0.001,0.5,0.5,0,-18396.0426075555,-17583.6590904887,-812.383517066817
501,2.69334633038753,2.68658396946487,0,0.253194357446494,0,0.223469850998775,0,0.0788032861405713,0.00288415754910203,0,12,1.27494335702812,0.001,0.5,0.5,0,-4513.57853003593,-3212.42080871497,-1301.15772132096
1001,2.77483597052421,2.86576086433564,0,0.246643109573463,0,0.264978214939001,0,0.077254082883906,0.0102787641547581,0,12,1.17795188969793,0.001,0.5,0.5,0,-4516.63231674247,-3147.72345862328,-1368.90885811919
1501,2.76750960248569,2.96410453909397,0,0.25989170629938,0,0.288536952905284,0,0.0800370864681234,0.000593347142780205,0,12,1.178060965039,0.001,0.5,0.5,0,-4493.32531211715,-3139.49654364952,-1353.82876846763
2001,2.89852311268747,2.69336456233166,0,0.22574504233314,0,0.342089958571529,0,0.0766788622711794,0.00104110212217769,0,12,1.18203516080122,0.001,0.5,0.5,0,-4494.42403136165,-3128.81440596887,-1365.60962539278
2501,3.04780247920739,2.56789295355147,0,0.249637027019553,0,0.364850955291476,0,0.072321632397676,0.000840949499185395,0,12,1.12570517434793,0.001,0.5,0.5,0,-4517.85613303971,-3125.93855691478,-1391.91757612494
3001,3.13015920887616,2.68784633419671,0,0.196457965015678,0,0.392844865908308,0,0.0729923340217899,0.0234681121667896,0,12,1.14409922528615,0.001,0.5,0.5,0,-4449.83706321682,-3133.67090110779,-1316.16616210904
3501,3.30651307593478,2.28898471170483,0,0.235429215417086,0,0.433084326894786,0,0.0684305429251412,0.00516243459462972,0,12,1.13766016308671,0.001,0.5,0.5,0,-4439.19560071136,-3131.73190233959,-1307.46369837177
4001,3.21075012267595,2.52817158079321,0,0.234078616422237,0,0.348956819802288,0,0.0654116514199479,0.0132970270289741,0,12,1.11763912264275,0.001,0.5,0.5,0,-4440.61332783226,-3125.93569705353,-1314.67763077873
4501,3.21963612557124,2.56074503286007,0,0.251935685070284,0,0.361871001826105,0,0.0683909066322997,0.0171280929686594,0,12,1.12729026736031,0.001,0.5,0.5,0,-4462.39215247774,-3133.99763856647,-1328.39451391127
5001,3.24713853676535,2.57097700781402,0,0.286688684172193,0,0.348912972461092,0,0.0693888635858842,0.00151336304627817,0,12,1.12033935363627,0.001,0.5,0.5,0,-4471.7903184898,-3149.36395287416,-1322.42636561565
5501,3.26062313735488,2.14483604321809,0,0.250432829878502,0,0.346443660899846,0,0.0644999121115245,0.00221177890725104,0,12,1.14982099819374,0.001,0.5,0.5,0,-4481.46091286195,-3152.74976648486,-1328.71114637708
6001,3.14442503943306,2.31790984281658,0,0.253502665159426,0,0.406810260111729,0,0.0629981306700969,0.0217086542696003,0,12,1.14155044857551,0.001,0.5,0.5,0,-4495.70548983058,-3135.58277763545,-1360.12271219513
6501,3.22181095085593,2.54673428405507,0,0.249757928375462,0,0.357506089585249,0,0.0618030392067415,0.0269661327622066,0,12,1.15264436779251,0.001,0.5,0.5,0,-4477.95036154832,-3162.22302125504,-1315.72734029328
7001,3.2547167417259,2.4114362435625,0,0.254618001751312,0,0.368623441383519,0,0.0696548569568031,0.00701811958567583,0,12,1.14134270682088,0.001,0.5,0.5,0,-4415.54937252664,-3144.92700396119,-1270.62236856545
7501,3.15931320968711,2.20638612323871,0,0.254093290410583,0,0.304789905223209,0,0.0738800560569761,0.000206738932295786,0,12,1.15173530060188,0.001,0.5,0.5,0,-4474.5859916324,-3156.96543542908,-1317.62055620332
8001,3.19162182648159,2.41108657818017,0,0.278942553417077,0,0.317533012493106,0,0.0764442324231796,0.00154114926608827,0,12,1.19075973094562,0.001,0.5,0.5,0,-4474.40031503028,-3146.04951506374,-1328.35079996654
8501,3.24512600545991,2.53896097165695,0,0.22893568114046,0,0.405149279589294,0,0.0703406700185983,0.00418880831431835,0,12,1.11657431223945,0.001,0.5,0.5,0,-4499.41258453843,-3151.57087705572,-1347.84170748271
9001,3.19232825990399,2.38860276513663,0,0.205652986937757,0,0.438422037060042,0,0.0621819114627493,0.00087430917563688,0,12,1.14732638363382,0.001,0.5,0.5,0,-4448.43317204912,-3152.95369018808,-1295.47948186104
9501,3.1123985732051,2.46310518144483,0,0.187757403356228,0,0.436695490104983,0,0.0667610923906987,0.0210789406788617,0,12,1.18300554380102,0.001,0.5,0.5,0,-4445.34011218743,-3149.49029493501,-1295.84981725242
10001,3.19412327871688,2.42789902306298,0,0.234866755927937,0,0.427544800410093,0,0.0736245984730935,0.00462223075109892,0,12,1.14891262734598,0.001,0.5,0.5,0,-4428.72154327249,-3128.7502598885,-1299.97128338399
10501,3.19837549556736,2.45258118527081,0,0.244683234802275,0,0.46625839642928,0,0.0728607573210606,0.000304070361203178,0,12,1.10898611792874,0.001,0.5,0.5,0,-4444.74714087303,-3104.65950199449,-1340.08763887853
11001,3.14554149123694,2.29908932995768,0,0.22719037657881,0,0.425650853464245,0,0.0677585024302064,0.0172569951225362,0,12,1.18424616450437,0.001,0.5,0.5,0,-4476.69888218183,-3146.34069217997,-1330.35819000186
11501,3.05732766031793,2.59495134693496,0,0.240104100579777,0,0.380836368397544,0,0.0742336646629103,0.00864691030989373,0,12,1.14775348917805,0.001,0.5,0.5,0,-4470.18542553483,-3122.84296747875,-1347.34245805608
12001,3.18315382686959,2.40131234949022,0,0.260452892257079,0,0.404801949289773,0,0.0730667016211961,0.00267670624640828,0,12,1.13964095463124,0.001,0.5,0.5,0,-4473.62668134369,-3144.79678649034,-1328.82989485334
12501,2.96949633074911,2.63977820871004,0,0.211308582845854,0,0.382015135590431,0,0.074100487320529,0.00210509258748036,0,12,1.15127678832715,0.001,0.5,0.5,0,-4499.88481426589,-3121.23679715617,-1378.64801710972
13001,3.09623942800098,2.59640994166924,0,0.2436319099095,0,0.422050043925947,0,0.0655379201455122,0.0128735979001831,0,12,1.20132644175633,0.001,0.5,0.5,0,-4520.62697934092,-3164.10580922219,-1356.52117011872
13501,2.95157246753435,2.47239731469386,0,0.212960843531058,0,0.373339207841422,0,0.0703525491319218,0.0141373265652588,0,12,1.14595490881959,0.001,0.5,0.5,0,-4546.84468069592,-3123.86425554232,-1422.98042515359
14001,2.93540933193686,2.40042589391989,0,0.222858008199636,0,0.362612893696635,0,0.065613080963682,0.00657151618604884,0,12,1.12773868088294,0.001,0.5,0.5,0,-4512.53089714475,-3134.330997827,-1378.19989931775
14501,3.16322520162013,2.47643265009353,0,0.221640556189275,0,0.369017024362902,0,0.0709424064885861,0.0115593374398681,0,12,1.16411325408469,0.001,0.5,0.5,0,-4465.5255077709,-3148.82342312323,-1316.70208464768
15001,3.1217602280399,2.43185632231118,0,0.234039058589097,0,0.344343355638324,0,0.0692173194347999,0.00619979878509679,0,12,1.17545545127527,0.001,0.5,0.5,0,-4456.33959699575,-3140.32202254218,-1316.01757445357
15501,3.25917274212546,2.40746714123919,0,0.231904904502149,0,0.452849518299953,0,0.0648702473176881,0.00793763512125819,0,12,1.14360079361943,0.001,0.5,0.5,0,-4444.52394759859,-3137.99436880312,-1306.52957879548
16001,3.30902043321977,2.33847223815282,0,0.211828907593379,0,0.508008920785764,0,0.0671720839837544,0.00909484780780547,0,12,1.14601579796085,0.001,0.5,0.5,0,-4451.91085726234,-3136.59439959652,-1315.31645766582
16501,3.35673088129944,2.2486642889407,0,0.246176081236338,0,0.538304304255953,0,0.0669476116285559,0.00340174524564808,0,12,1.13991517845925,0.001,0.5,0.5,0,-4488.8401767611,-3142.01622041705,-1346.82395634405
17001,3.44318975159541,2.29356486458457,0,0.247844360551706,0,0.501536631443047,0,0.069550432828786,0.00836891570570216,0,12,1.10250364285083,0.001,0.5,0.5,0,-4478.53175812506,-3121.68205264334,-1356.84970548172
17501,3.3013656458897,2.25455244939597,0,0.236224164211464,0,0.501773811692819,0,0.0661249100496695,0.00591608907324515,0,12,1.14594472568241,0.001,0.5,0.5,0,-4443.84272451263,-3117.21559684835,-1326.62712766428
18001,3.29149423790223,2.34526908614155,0,0.249342310401372,0,0.477003859825195,0,0.0621357039484652,0.00693601963915262,0,12,1.15549150709478,0.001,0.5,0.5,0,-4507.70344418164,-3138.0624913413,-1369.64095284033
18501,3.39414372600838,2.25539142486047,0,0.267075854515888,0,0.496319048476819,0,0.0681615559603584,0.00302171655375869,0,12,1.13341198701931,0.001,0.5,0.5,0,-4494.85587036177,-3122.43425881477,-1372.421611547
19001,3.1711748408102,2.38351608621142,0,0.237024342370113,0,0.540930459808593,0,0.0681914756008769,0.0135920456368172,0,12,1.10866984052147,0.001,0.5,0.5,0,-4480.0639315724,-3111.30910311634,-1368.75482845606
19501,3.13445496878837,2.30044604308461,0,0.215053272360459,0,0.548441942740803,0,0.0608774797098532,0.00960801916912155,0,12,1.097503765877,0.001,0.5,0.5,0,-4468.22732936577,-3119.06442733563,-1349.16290203015
20001,3.19967574241139,2.2581284262069,0,0.198931741813898,0,0.551841827113373,0,0.0696686399184324,0.00617049190361126,0,12,1.14786593801915,0.001,0.5,0.5,0,-4513.31808445768,-3122.90004899235,-1390.41803546533
20501,3.11595233424594,2.44282288229218,0,0.191477957360777,0,0.607307808732899,0,0.0641054211996427,0.00558752236056434,0,12,1.12209753440853,0.001,0.5,0.5,0,-4449.73384480976,-3123.70786401208,-1326.02598079768
21001,3.1076260787267,2.35470888077117,0,0.192017616422886,0,0.566841461075264,0,0.0645846190101996,0.0264342431846235,0,12,1.09213075332012,0.001,0.5,0.5,0,-4468.90571844586,-3111.96146392561,-1356.94425452025
21501,3.04823382218757,2.54146822867484,0,0.226508564749613,0,0.490865857635415,0,0.0587272234010072,0.0336088913106237,0,12,1.12307235656164,0.001,0.5,0.5,0,-4482.11910513659,-3128.89520979468,-1353.22389534191
22001,3.11263647720022,2.58907673207991,0,0.229986609210991,0,0.56116915834834,0,0.0719632032025892,0.00659414056136982,0,12,1.11020150412691,0.001,0.5,0.5,0,-4454.89589201146,-3115.20550813363,-1339.69038387783
22501,3.25614381929372,2.351222747971,0,0.226187015503228,0,0.570984488183318,0,0.0673522846166783,0.00318297033909722,0,12,1.13389706608506,0.001,0.5,0.5,0,-4420.87594119675,-3129.63810019394,-1291.23784100281
23001,3.25304559945499,2.28796653215982,0,0.234070656118697,0,0.51618645722464,0,0.0667697793208351,0.0044371869503362,0,12,1.10598926381671,0.001,0.5,0.5,0,-4489.94212328925,-3123.11084105514,-1366.83128223411
23501,3.35139295465011,2.452097930034,0,0.273948063777856,0,0.520521106992487,0,0.0710484752489023,0.00404628964552119,0,12,1.14970956309695,0.001,0.5,0.5,0,-4507.16445154934,-3137.08368493658,-1370.08076661277
24001,3.14153670083803,2.78599455817102,0,0.264581718049954,0,0.475822106532805,0,0.0718036044864932,0.00175916254830462,0,12,1.15436362391989,0.001,0.5,0.5,0,-4485.10468423615,-3124.73969205474,-1360.36499218141
